From (train),House Price,To (train),Train time,Changes,Frequency,From (tube),To (tube),Tube time,Total time
Finchley Road & Frognal,824485,Euston,00:35,1,every 00:05,,,,00:35
Fleet,373655,Waterloo,00:44,0,every 00:14,,,,00:44
Fulwell,592341,Waterloo,00:39,0,every 00:14,,,,00:39
Furze Platt,431298,Paddington,00:33,0,every 00:34,,,,00:33
Gerrards Cross,565049,Marylebone,00:24,0,every 00:12,,,,00:24
Godalming,439335,Waterloo,00:46,0,every 00:14,,,,00:46
Goring & Streatley,375765,Paddington,00:54,0,every 00:17,,,,00:54
Gospel Oak,824485,Euston,00:32,1,every 00:07,,,,00:32
Great Missenden,536037,Marylebone,00:45,0,every 00:16,,,,00:45
Greenford,410927,Paddington,00:26,0,every 00:30,,,,00:26
Guildford,438370,Waterloo,00:37,0,every 00:11,,,,00:37
Gunnersbury,382711,Euston,00:42,1,every 00:09,,,,00:42
Haddenham & Thame Parkway,273920,Marylebone,00:44,0,every 00:20,,,,00:44
Hampstead Heath,824485,Euston,00:34,1,every 00:07,,,,00:34
Hampton,592341,Waterloo,00:42,0,every 00:14,,,,00:42
Hampton Court,660853,Waterloo,00:32,0,every 00:30,,,,00:32
Hampton Wick,592341,Waterloo,00:35,0,every 00:09,,,,00:35
Hanwell,410927,Paddington,00:15,0,every 00:15,,,,00:15
Harlesden,421527,Euston,00:19,0,every 00:15,,,,00:19
Harrow-on-the-Hill,359987,Marylebone,00:15,0,every 00:28,,,,00:15
Haslemere,439335,Waterloo,00:52,0,every 00:09,,,,00:52
Hatch End,359987,Euston,00:27,0,every 00:20,,,,00:27
Haydons Road,450538,Blackfriars,00:27,0,every 00:30,,,,00:27
Haydons Road,450538,London Bridge,00:35,1,every 00:13,,,,00:35
Haydons Road,450538,Moorgate,00:46,1,every 00:30,,,,00:46
Haydons Road,450538,Kings Cross,00:50,1,every 00:11,,,,00:50
Hayes & Harlington,306484,Paddington,00:19,0,every 00:09,,,,00:19
Headstone Lane,359987,Euston,00:25,0,every 00:20,,,,00:25
Hemel Hempstead,343109,Euston,00:28,0,every 00:14,,,,00:28
Hendon,465297,Blackfriars,00:27,0,every 00:18,,,,00:27
Hendon,465297,Kings Cross,00:31,1,every 00:18,,,,00:31
Hendon,465297,Moorgate,00:36,1,every 00:18,,,,00:36
Hendon,465297,London Bridge,00:38,1,every 00:18,,,,00:38
Henley-on-Thames,375765,Paddington,00:44,0,every 00:32,,,,00:44
Hersham,660853,Waterloo,00:26,0,every 00:11,,,,00:26
High Wycombe,347090,Marylebone,00:30,0,every 00:14,,,,00:30
Hinchley Wood,660853,Waterloo,00:26,0,every 00:22,,,,00:26
Hook,373655,Waterloo,00:53,0,every 00:18,,,,00:53
Horsley,438370,Waterloo,00:43,0,every 00:22,,,,00:43
Hounslow,382711,Waterloo,00:40,0,every 00:15,,,,00:40
Isleworth,382711,Waterloo,00:37,0,every 00:15,,,,00:37
Iver,565049,Paddington,00:27,0,every 00:20,,,,00:27
Kempton Park,300247,Waterloo,00:46,0,every 00:00,,,,00:46
Kensal Rise,421527,Euston,00:28,1,every 00:10,,,,00:28
Kensington (Olympia),1683055,Euston,00:37,1,every 00:10,,,,00:37
Kentish Town,824485,Blackfriars,00:16,0,every 00:18,,,,00:16
Kentish Town,824485,Kings Cross,00:20,1,every 00:18,,,,00:20
Kentish Town,824485,Moorgate,00:25,1,every 00:18,,,,00:25
Kentish Town,824485,London Bridge,00:27,1,every 00:19,,,,00:27
Kentish Town West,824485,Euston,00:30,1,every 00:07,,,,00:30
Kenton,421527,Euston,00:21,0,every 00:06,,,,00:21
Kew Bridge,382711,Waterloo,00:30,0,every 00:15,,,,00:30
Kew Gardens (London),592341,Euston,00:45,1,every 00:07,,,,00:45
Kingston,412144,Waterloo,00:31,0,every 00:09,,,,00:31
Kingswood,350380,London Bridge,00:43,0,every 00:15,,,,00:43
Kingswood,350380,Victoria,00:49,0,every 00:15,,,,00:49
Kingswood,350380,Waterloo,00:59,1,every 00:15,,,,00:59
Langley (Berkshire),215474,Paddington,00:30,0,every 00:13,,,,00:30
Leatherhead,454383,Waterloo,00:45,0,every 00:15,,,,00:45
Leatherhead,454383,Victoria,00:47,0,every 00:10,,,,00:47
Leatherhead,454383,London Bridge,00:50,0,every 00:18,,,,00:50
Little Kimble,347090,Marylebone,00:56,0,every 00:45,,,,00:56
London Road (Guildford),438370,Waterloo,00:47,0,every 00:10,,,,00:47
Longcross,332113,Waterloo,00:48,0,every 00:30,,,,00:48
Loughborough Junction,411350,Moorgate,00:27,1,every 00:08,,,,00:27
Loughborough Junction,411350,Kings Cross,00:34,1,every 00:09,,,,00:34
Loughborough Junction,411350,London Bridge,00:34,1,every 00:06,,,,00:34
Maidenhead,431298,Paddington,00:24,0,every 00:10,,,,00:24
Malden Manor,412144,Waterloo,00:30,0,every 00:30,,,,00:30
Marlow,347090,Paddington,00:50,1,every 00:34,,,,00:50
Micheldever,379922,Waterloo,00:57,0,every 00:41,,,,00:57
Milford (Surrey),439335,Waterloo,00:50,0,every 00:24,,,,00:50
Mill Hill Broadway,465297,Blackfriars,00:27,0,every 00:09,,,,00:27
Mill Hill Broadway,465297,Kings Cross,00:30,1,every 00:09,,,,00:30
Mill Hill Broadway,465297,Moorgate,00:36,1,every 00:09,,,,00:36
Mill Hill Broadway,465297,London Bridge,00:39,1,every 00:11,,,,00:39
Monks Risborough,347090,Marylebone,00:52,0,every 00:45,,,,00:52
Mortimer,313230,Paddington,00:50,1,every 00:29,,,,00:50
Mortlake,592341,Waterloo,00:26,0,every 00:14,,,,00:26
Motspur Park,450538,Waterloo,00:26,0,every 00:08,,,,00:26
New Malden,412144,Waterloo,00:24,0,every 00:05,,,,00:24
Newbury,313230,Paddington,00:49,0,every 00:19,,,,00:49
Norbiton,412144,Waterloo,00:29,0,every 00:09,,,,00:29
Norbury,271598,Victoria,00:22,0,every 00:07,,,,00:22
Norbury,271598,London Bridge,00:31,0,every 00:12,,,,00:31
Norbury,271598,Waterloo,00:33,1,every 00:07,,,,00:33
Norbury,271598,Charing Cross,00:45,1,every 00:05,,,,00:45
North Camp,438370,Waterloo,00:57,1,every 00:14,,,,00:57
North Sheen,592341,Waterloo,00:27,0,every 00:07,,,,00:27
North Wembley,421527,Euston,00:25,0,every 00:06,,,,00:25
Northolt Park,410927,Marylebone,00:17,0,every 00:28,,,,00:17
Overton,259175,Waterloo,00:55,0,every 00:30,,,,00:55
Oxford,377642,Paddington,00:58,0,every 00:19,,,,00:58
Oxshott,660853,Waterloo,00:32,0,every 00:22,,,,00:32
Pangbourne,313230,Paddington,00:49,0,every 00:17,,,,00:49
Princes Risborough,347090,Marylebone,00:36,0,every 00:17,,,,00:36
Putney,569614,Waterloo,00:17,0,every 00:06,,,,00:17
Raynes Park,450538,Waterloo,00:23,0,every 00:04,,,,00:23
Reading,248486,Paddington,00:26,0,every 00:04,,,,00:26
Reading West,248486,Paddington,00:35,0,every 00:15,,,,00:35
Richmond,592341,Waterloo,00:21,0,every 00:08,,,,00:21
Rickmansworth,359987,Marylebone,00:27,0,every 01:04,,,,00:27
Rugby,192915,Euston,00:49,0,every 00:20,,,,00:49
