From (train),House Price,To (train),Train time,Changes,Frequency,From (tube),To (tube),Tube time,Total time
Enfield Town,307394,Liverpool Street,00:37,0,every 00:15,,,,00:37
Essex Road,526314,London Bridge,00:15,1,every 00:05,,,,00:15
Essex Road,526314,Blackfriars,00:23,1,every 00:05,,,,00:23
Finchley Road & Frognal,824485,Euston,00:35,1,every 00:05,,,,00:35
Finsbury Park,526314,London Bridge,00:21,1,every 00:05,,,,00:21
Finsbury Park,526314,Blackfriars,00:29,1,every 00:05,,,,00:29
Flitwick,251158,Blackfriars,00:52,0,every 00:09,,,,00:52
Flitwick,251158,Kings Cross,00:55,1,every 00:09,,,,00:55
Foxton,303061,Kings Cross,00:54,0,every 00:37,,,,00:54
Garston (Hertfordshire),269245,Euston,00:31,1,every 00:42,,,,00:31
Gordon Hill,307394,Moorgate,00:30,0,every 00:07,,,,00:30
Gordon Hill,307394,Kings Cross,00:32,1,every 00:07,,,,00:32
Gordon Hill,307394,London Bridge,00:37,1,every 00:07,,,,00:37
Gordon Hill,307394,Blackfriars,00:45,1,every 00:07,,,,00:45
Gospel Oak,824485,Euston,00:32,1,every 00:07,,,,00:32
Grange Park,307394,Moorgate,00:28,0,every 00:10,,,,00:28
Grange Park,307394,Kings Cross,00:30,1,every 00:12,,,,00:30
Grange Park,307394,London Bridge,00:35,1,every 00:12,,,,00:35
Grange Park,307394,Blackfriars,00:43,1,every 00:12,,,,00:43
Great Missenden,536037,Marylebone,00:45,0,every 00:16,,,,00:45
Haddenham & Thame Parkway,273920,Marylebone,00:44,0,every 00:20,,,,00:44
Hadley Wood,307394,Kings Cross,00:28,1,every 00:15,,,,00:28
Hadley Wood,307394,Moorgate,00:28,0,every 00:15,,,,00:28
Hadley Wood,307394,London Bridge,00:35,1,every 00:15,,,,00:35
Hadley Wood,307394,Blackfriars,00:43,1,every 00:15,,,,00:43
Hampstead Heath,824485,Euston,00:34,1,every 00:07,,,,00:34
Harlesden,421527,Euston,00:19,0,every 00:15,,,,00:19
Harlington,251158,Blackfriars,00:56,0,every 00:13,,,,00:56
Harlington,251158,Kings Cross,00:58,1,every 00:13,,,,00:58
Harlow Mill,192439,Liverpool Street,00:44,0,every 00:21,,,,00:44
Harlow Town,192439,Liverpool Street,00:33,0,every 00:09,,,,00:33
Harpenden,451155,Blackfriars,00:36,0,every 00:08,,,,00:36
Harpenden,451155,Kings Cross,00:39,1,every 00:08,,,,00:39
Harpenden,451155,Moorgate,00:45,1,every 00:09,,,,00:45
Harpenden,451155,London Bridge,00:45,0,every 00:12,,,,00:45
Harringay,438758,Kings Cross,00:16,1,every 00:04,,,,00:16
Harringay,438758,Moorgate,00:17,0,every 00:04,,,,00:17
Harringay,438758,London Bridge,00:23,1,every 00:05,,,,00:23
Harringay,438758,Blackfriars,00:31,1,every 00:09,,,,00:31
Harringay Green Lanes,438758,Euston,00:35,2,every 00:05,,,,00:35
Harrow-on-the-Hill,359987,Marylebone,00:15,0,every 00:28,,,,00:15
Hatch End,359987,Euston,00:27,0,every 00:20,,,,00:27
Hatfield (Hertfordshire),315934,Kings Cross,00:26,0,every 00:12,,,,00:26
Hatfield (Hertfordshire),315934,Moorgate,00:37,0,every 00:07,,,,00:37
Hatfield (Hertfordshire),315934,London Bridge,00:44,1,every 00:07,,,,00:44
Hatfield (Hertfordshire),315934,Blackfriars,00:52,1,every 00:08,,,,00:52
Hatfield Peverel,229818,Liverpool Street,00:43,0,every 00:33,,,,00:43
Headstone Lane,359987,Euston,00:25,0,every 00:20,,,,00:25
Hemel Hempstead,343109,Euston,00:28,0,every 00:14,,,,00:28
Hendon,465297,Blackfriars,00:27,0,every 00:18,,,,00:27
Hendon,465297,Kings Cross,00:31,1,every 00:18,,,,00:31
Hendon,465297,Moorgate,00:36,1,every 00:18,,,,00:36
Hendon,465297,London Bridge,00:38,1,every 00:18,,,,00:38
Hertford East,322619,Liverpool Street,00:50,0,every 00:28,,,,00:50
Hertford North,322619,Moorgate,00:42,0,every 00:07,,,,00:42
Hertford North,322619,Kings Cross,00:44,1,every 00:07,,,,00:44
Hertford North,322619,London Bridge,00:49,1,every 00:07,,,,00:49
Hertford North,322619,Blackfriars,00:57,1,every 00:08,,,,00:57
High Wycombe,347090,Marylebone,00:30,0,every 00:14,,,,00:30
Highams Park,256029,Liverpool Street,00:25,0,every 00:15,,,,00:25
Highbury & Islington,526314,London Bridge,00:17,1,every 00:05,,,,00:17
Highbury & Islington,526314,Blackfriars,00:25,1,every 00:05,,,,00:25
Hitchin,274270,Kings Cross,00:29,0,every 00:07,,,,00:29
Hitchin,274270,Moorgate,00:44,1,every 00:13,,,,00:44
Hitchin,274270,London Bridge,00:51,2,every 00:13,,,,00:51
Hornsey,438758,Kings Cross,00:18,1,every 00:04,,,,00:18
Hornsey,438758,Moorgate,00:19,0,every 00:04,,,,00:19
Hornsey,438758,London Bridge,00:25,1,every 00:05,,,,00:25
Hornsey,438758,Blackfriars,00:33,1,every 00:09,,,,00:33
How Wood (Hertfordshire),451155,Euston,00:37,1,every 00:42,,,,00:37
Huntingdon,210913,Kings Cross,00:50,0,every 00:15,,,,00:50
Ingatestone,341139,Liverpool Street,00:31,0,every 00:18,,,,00:31
Kelvedon,229818,Liverpool Street,00:50,0,every 00:12,,,,00:50
Kensal Rise,421527,Euston,00:28,1,every 00:10,,,,00:28
Kentish Town,824485,Blackfriars,00:16,0,every 00:18,,,,00:16
Kentish Town,824485,Kings Cross,00:20,1,every 00:18,,,,00:20
Kentish Town,824485,Moorgate,00:25,1,every 00:18,,,,00:25
Kentish Town,824485,London Bridge,00:27,1,every 00:19,,,,00:27
Kentish Town West,824485,Euston,00:30,1,every 00:07,,,,00:30
Kenton,421527,Euston,00:21,0,every 00:06,,,,00:21
Kings Cross,824485,Moorgate,00:15,1,every 00:04,,,,00:15
Kings Cross,824485,London Bridge,00:21,0,every 00:06,,,,00:21
Kings Cross,824485,Blackfriars,00:28,1,every 00:04,,,,00:28
Kings Langley,454193,Euston,00:24,0,every 00:24,,,,00:24
Knebworth,274270,Kings Cross,00:24,0,every 00:16,,,,00:24
Knebworth,274270,Moorgate,00:35,1,every 00:17,,,,00:35
Knebworth,274270,London Bridge,00:42,1,every 00:20,,,,00:42
Knebworth,274270,Blackfriars,00:57,2,every 00:20,,,,00:57
Leagrave,159988,Blackfriars,00:48,0,every 00:08,,,,00:48
Leagrave,159988,Kings Cross,00:52,1,every 00:08,,,,00:52
Leagrave,159988,Moorgate,00:57,1,every 00:10,,,,00:57
Leagrave,159988,London Bridge,00:58,0,every 00:12,,,,00:58
Leighton Buzzard,175100,Euston,00:32,0,every 00:14,,,,00:32
Letchworth Garden City,274270,Kings Cross,00:33,0,every 00:08,,,,00:33
Letchworth Garden City,274270,Moorgate,00:49,1,every 00:12,,,,00:49
Letchworth Garden City,274270,London Bridge,00:56,1,every 00:10,,,,00:56
Little Kimble,347090,Marylebone,00:56,0,every 00:45,,,,00:56
Luton,159988,Blackfriars,00:42,0,every 00:08,,,,00:42
Luton,159988,Kings Cross,00:44,1,every 00:06,,,,00:44
Luton,159988,Moorgate,00:51,1,every 00:09,,,,00:51
Luton,159988,London Bridge,00:54,0,every 00:09,,,,00:54
Luton Airport Parkway,159988,Kings Cross,00:42,1,every 00:08,,,,00:42
Luton Airport Parkway,159988,Blackfriars,00:43,0,every 00:08,,,,00:43
Luton Airport Parkway,159988,London Bridge,00:51,0,every 00:09,,,,00:51
Luton Airport Parkway,159988,Moorgate,00:52,1,every 00:05,,,,00:52
Manningtree,180264,Liverpool Street,00:58,0,every 00:12,,,,00:58
Marks Tey,214162,Liverpool Street,00:54,0,every 00:12,,,,00:54
